GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2020-08-09,21901286,Final,1610612761,1610612763,2019,1610612761,108.0,0.479,0.758,0.385,25.0,40.0,1610612763,99.0,0.407,0.688,0.333,24.0,42.0,1
2020-08-09,21901287,Final,1610612740,1610612759,2019,1610612740,113.0,0.438,0.773,0.4,30.0,48.0,1610612759,122.0,0.449,0.969,0.393,22.0,51.0,0
2020-08-09,21901288,Final,1610612738,1610612753,2019,1610612738,122.0,0.441,0.833,0.3,32.0,54.0,1610612753,119.0,0.402,0.846,0.319,24.0,52.0,1
2020-08-09,21901289,Final,1610612757,1610612755,2019,1610612757,124.0,0.473,0.931,0.314,19.0,41.0,1610612755,121.0,0.485,0.765,0.467,24.0,48.0,1
2020-08-09,21901290,Final,1610612758,1610612745,2019,1610612758,112.0,0.471,0.87,0.27,29.0,41.0,1610612745,129.0,0.473,0.833,0.316,21.0,48.0,0
2020-08-09,21901291,Final,1610612746,1610612751,2019,1610612746,120.0,0.484,0.85,0.361,23.0,39.0,1610612751,129.0,0.5529999999999999,0.789,0.465,32.0,46.0,0
2020-08-08,21901280,Final,1610612757,1610612746,2019,1610612757,117.0,0.489,0.706,0.395,24.0,41.0,1610612746,122.0,0.494,0.821,0.441,24.0,45.0,0
2020-08-08,21901281,Final,1610612743,1610612762,2019,1610612743,134.0,0.472,0.767,0.243,29.0,52.0,1610612762,132.0,0.448,0.727,0.4,34.0,51.0,1
2020-08-08,21901282,Final,1610612754,1610612747,2019,1610612754,116.0,0.524,0.929,0.455,25.0,42.0,1610612747,111.0,0.42,0.737,0.333,20.0,44.0,1
2020-08-08,21901283,Final,1610612748,1610612756,2019,1610612748,112.0,0.488,0.8640000000000001,0.306,28.0,37.0,1610612756,119.0,0.478,0.95,0.375,27.0,52.0,0
2020-08-08,21901284,Final,1610612742,1610612749,2019,1610612742,136.0,0.417,0.92,0.321,37.0,54.0,1610612749,132.0,0.475,0.6759999999999999,0.341,26.0,55.0,1
2020-08-07,21901274,Final,1610612759,1610612762,2019,1610612759,119.0,0.506,0.769,0.409,27.0,47.0,1610612762,111.0,0.418,0.792,0.4320000000000001,25.0,49.0,1
2020-08-07,21901275,Final,1610612763,1610612760,2019,1610612763,121.0,0.5539999999999999,0.9,0.355,24.0,58.0,1610612760,92.0,0.351,0.733,0.302,19.0,36.0,1
2020-08-07,21901276,Final,1610612751,1610612758,2019,1610612751,119.0,0.488,0.643,0.425,30.0,44.0,1610612758,106.0,0.4270000000000001,0.75,0.3,19.0,50.0,1
2020-08-07,21901277,Final,1610612755,1610612753,2019,1610612755,108.0,0.409,0.727,0.276,19.0,51.0,1610612753,101.0,0.42,0.76,0.25,17.0,47.0,1
2020-08-07,21901278,Final,1610612740,1610612764,2019,1610612740,118.0,0.477,0.846,0.343,25.0,45.0,1610612764,107.0,0.422,0.913,0.37,22.0,40.0,1
2020-08-07,21901279,Final,1610612761,1610612738,2019,1610612761,100.0,0.4270000000000001,0.8240000000000001,0.263,20.0,48.0,1610612738,122.0,0.49,0.75,0.348,27.0,52.0,0
2020-08-06,21901268,Final,1610612758,1610612740,2019,1610612758,140.0,0.5379999999999999,0.727,0.485,26.0,39.0,1610612740,125.0,0.573,0.7390000000000001,0.412,31.0,30.0,1
2020-08-06,21901269,Final,1610612749,1610612748,2019,1610612749,130.0,0.526,0.868,0.405,27.0,44.0,1610612748,116.0,0.422,0.926,0.457,28.0,39.0,1
